City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,oromocto,45.8351,-66.4792,293.23,70,75,4.12,CA,1718038326
131,callao,-12.0667,-77.15,293.55,77,100,3.09,PE,1718038097
132,kapuskasing,49.4169,-82.4331,283.2,66,20,4.12,CA,1718038082
133,klimavichy,53.6135,31.9385,293.14,89,78,2.82,BY,1718038326
134,port elizabeth,-33.918,25.5701,290.31,71,0,1.03,ZA,1718038327
135,tura,25.5198,90.2201,299.43,89,6,2.94,IN,1718038048
136,mermoz boabab,14.7065,-17.4758,302.46,65,0,3.09,SN,1718038327
137,duong dong,10.2167,103.9667,299.15,94,40,0.51,VN,1718038328
138,baijiantan,45.6333,85.1833,305.52,15,23,3.97,CN,1718038328
139,rongelap,11.1635,166.8941,301.19,82,82,8.63,MH,1718038307
140,oneonta,42.4529,-75.0638,290.27,89,99,5.04,US,1718038329
141,hermanus,-34.4187,19.2345,290.26,59,42,3.47,ZA,1718038329
142,karratha,-20.7377,116.8463,293.24,58,0,1.6,AU,1718038329
143,sarykemer,43.0,71.5,299.86,35,86,5.94,KZ,1718038330
144,huejutla de reyes,21.1333,-98.4167,308.74,42,21,2.84,MX,1718038330
145,sinabang,2.4803,96.3801,299.96,83,100,1.63,ID,1718038330
146,conceicao da barra,-18.5933,-39.7322,300.8,49,66,3.26,BR,1718038331
147,maceio,-9.6658,-35.7353,301.84,83,75,6.69,BR,1718038175
148,nguigmi,14.2495,13.1092,307.57,33,76,4.49,NE,1718038331
149,seversk,56.6006,84.8864,287.68,84,47,2.24,RU,1718038332
150,east london,-33.0153,27.9116,288.67,77,0,2.06,ZA,1718038210
151,gizycko,54.0381,21.7644,290.54,80,100,1.29,PL,1718038332
152,la passe,45.5549,-0.8967,292.28,72,19,5.35,FR,1718038332
153,lihue,21.9789,-159.3672,296.92,73,20,7.72,US,1718038333
154,kermit,31.8576,-103.0927,300.4,57,40,0.0,US,1718038322
155,veinticinco de mayo,-35.4323,-60.1727,293.7,41,81,3.13,AR,1718038264
156,ust-nera,64.5667,143.2,281.97,46,89,0.79,RU,1718038188
157,dunedin,-45.8742,170.5036,278.6,80,82,2.24,NZ,1718038064
158,longyearbyen,78.2186,15.6401,281.06,57,0,1.03,SJ,1718038135
159,nabire,-3.3667,135.4833,297.73,92,100,1.14,ID,1718038151
160,isiro,2.7739,27.616,293.65,98,97,1.35,CD,1718038335
161,klyuchi,52.2667,79.1667,293.77,82,85,1.48,RU,1718038198
162,collie,-33.3667,116.15,285.93,72,100,2.83,AU,1718038335
163,tuytepa,41.0321,69.3625,301.34,26,53,3.31,UZ,1718038336
164,salinopolis,-0.6136,-47.3561,299.89,87,97,5.28,BR,1718038143
165,nova sintra,14.8667,-24.7167,297.36,77,0,4.88,CV,1718038143
166,chebba,35.2372,11.115,296.9,68,95,7.3,TN,1718038337
167,luderitz,-26.6481,15.1594,292.6,48,36,3.42,NA,1718038337
168,sodankyla,67.4167,26.6,284.25,66,100,1.58,FI,1718038337
169,kidal,18.4411,1.4078,316.75,9,58,2.8,ML,1718038338
170,yerofey pavlovich,53.9667,121.9667,282.4,93,74,1.53,RU,1718038142
171,wailua homesteads,22.0669,-159.378,296.59,81,20,7.72,US,1718038144
172,egersund,58.4513,5.9997,285.98,79,68,9.97,NO,1718038219
173,arraial do cabo,-22.9661,-42.0278,301.13,65,0,2.57,BR,1718038187
174,puerto san jose,13.9256,-90.8244,303.18,70,40,3.09,GT,1718038340
175,nuuk,64.1835,-51.7216,283.49,87,75,0.0,GL,1718038218
176,shizuishan,39.2333,106.7694,300.09,21,75,3.84,CN,1718038340
177,dzhalagash,45.0833,64.6667,301.05,26,63,3.67,KZ,1718038340
178,chibougamau,49.9168,-74.3659,283.94,93,100,5.66,CA,1718038341
179,cabo san lucas,22.8909,-109.9124,304.6,64,0,2.24,MX,1718038341
180,fortuna,40.5982,-124.1573,285.34,100,100,3.09,US,1718038342
181,makhambet,47.6667,51.5833,303.09,29,51,5.35,KZ,1718038342
182,gadzhiyevo,69.2551,33.3362,285.69,73,92,5.76,RU,1718038129
183,udachny,66.4167,112.4,290.62,40,91,0.61,RU,1718038343
184,gamba,-2.65,10.0,297.17,85,3,3.9,GA,1718038284
185,deblin,51.5591,21.8483,293.58,76,100,3.25,PL,1718038343
186,cadale,2.7603,46.3222,299.6,78,88,8.64,SO,1718038312
187,bridgetown,13.1,-59.6167,304.42,74,75,9.77,BB,1718038107
188,coaldale,49.7167,-112.6185,291.7,63,20,6.17,CA,1718038344
